NIMI;ALKUPERÄISNIMI;ENSI-ILTA;KUMULATIIVISET KATSOJAT;LEVITTÄJÄ;MAANIMI
Viimeinen rakkaus;Mr.Morgan's last love;29.11.2013;7 132;FS Film Oy;SAKSA
LasseMajas detektivbyrå - Von Broms hemlighet;LasseMajas detektivbyrå - Von Broms hemlighet;22.11.2013;1 356;FS Film Oy;RUOTSI-SUOMI
Last Vegas;Last Vegas;22.11.2013;24 087;Finnkino Oy;USA
Nuoren Wertherin jäljillä;Nuoren Wertherin jäljillä;22.11.2013;648;FS Film Oy;SUOMI
Red Obsession;Red Obsession;22.11.2013;1 727;Cinema Mondo Oy;AUSTRALIA
Nälkäpeli: vihan liekit;The Hunger Games: Catching Fire;20.11.2013;231 905;Nordisk Film Theatrical Distribution Oy;USA
Salpa;Salpa;20.11.2013;2 415;Black Lion Independent;SUOMI
Escape Plan;Escape Plan;15.11.2013;44 627;Nordisk Film Theatrical Distribution Oy;USA
Filth;Filth;15.11.2013;3 936;Future Film;ENGLANTI
Kalevala - Uusi aika;Kalevala - Uusi aika;15.11.2013;5 045;Vl-Media;SUOMI
Lotta ja kuukiven salaisuus;Lotte ja kuukivi saladus;15.11.2013;8 144;Isla Sales;VIRO-LATVIA
The Counselor;The Counselor;15.11.2013;18 416;FS Film Oy;USA
You're next;You're next;15.11.2013;1 478;Scanbox Finland Oy;USA
Diana;Diana;8.11.2013;26 032;FS Film Oy;ENGLANTI
Gravity;Gravity;8.11.2013;147 584;FS Film Oy;USA
Luciferin viimeinen elämä;Luciferin viimeinen elämä;8.11.2013;183;Pirkanmaan Elokuvakeskus;SUOMI
The World's End;The World's End;8.11.2013;6 803;Finnkino Oy;ENGLANTI
Betoniyö;Betoniyö;1.11.2013;10 403;Cinema Mondo Oy;SUOMI
Carrie;Carrie;1.11.2013;10 844;FS Film Oy;USA
Don Jon;Don Jon;1.11.2013;20 900;Future Film;USA
Vili & Bill;Boule & Bill;1.11.2013;6 995;Snapper Films Distribution;RANSKA
Thor: The Dark World;Thor: The Dark World;30.10.2013;76 091;The Walt Disney Company Nordic;USA
Jackass Presents: Bad Grandpa;Jackass Presents: Bad Grandpa;25.10.2013;40 468;Finnkino Oy;USA
Päivien kuohu;L’écume des jours;25.10.2013;7 563;Cinema Mondo Oy;RANSKA-BELGIA
Syvyys;Djupio;25.10.2013;2 421;Future Film;ISLANTI
The Butler;The Butler;25.10.2013;11 393;Scanbox Finland Oy;USA
Viides valta;The Fifth Estate;25.10.2013;2 563;Nordisk Film Theatrical Distribution Oy;USA-BELGIA
Captain Phillips;Captain Phillips;18.10.2013;25 850;The Walt Disney Company Nordic;USA
Frances Ha;Frances Ha;18.10.2013;6 023;Atlantic Film Oy;USA
Leijonasydän;Leijonasydän;18.10.2013;199 206;Scanbox Finland Oy;SUOMI
Metallica: Through the Never;Metallica: Through the Never;18.10.2013;3 540;Future Film;USA
