NIMI;ALKUPERÄISNIMI;ENSI-ILTA;KUMULATIIVISET KATSOJAT;LEVITTÄJÄ;MAANIMI
A Complete History of My Sexual Failures;A Complete History of My Sexual Failures;17.10.2008;3 453;Cinema Mondo Oy;ENGLANTI
Max Payne;Max Payne;17.10.2008;48 364;FS Film Oy;USA
Nim ja salainen saari;Nim's Island;17.10.2008;1 675;Sandrew Metronome Dist.;USA
Lars ja se ainoa oikea;LARS AND THE REAL GIRL;10.10.2008;2 685;Finnkino Oy;USA
Niko - lentäjän poika;Niko - lentäjän poika;10.10.2008;233 664;Nordisk Film Theatrical Distribution Oy;SUOMI-IRLANTI-TANSKA-SAKSA
Susi;Varg;10.10.2008;765;The Walt Disney Company Nordic;RUOTSI
99 frangia;99 F;10.10.2008;8 963;Cinema Mondo Oy;RANSKA
Babylon A.D.;Babylon A.D.;3.10.2008;8 245;Nordisk Film Theatrical Distribution Oy;USA-RANSKA
Eagle Eye;EAGLE EYE;3.10.2008;20 833;Finnkino Oy;USA
Oikeuden kasvot;Righteous Kill;3.10.2008;19 727;Future Film;USA
Son of Rambow;Son of Rambow;3.10.2008;1 251;Sandrew Metronome Dist.;ENGLANTI
Päätalo;Päätalo;26.9.2008;117 478;Nordisk Film Theatrical Distribution Oy;SUOMI
The Strangers;The Strangers;26.9.2008;13 028;Sandrew Metronome Dist.;USA
Tuulen laakson Nausicaä;Kaze no tani no Naushika;26.9.2008;9 912;Cinema Mondo Oy;JAPANI
Katastrofin aineksia;RECIPES FOR DISASTER;19.9.2008;14 463;Finnkino Oy;SUOMI
Tropic Thunder;TROPIC THUNDER;19.9.2008;38 637;Finnkino Oy;USA
Kukkoilijat;In Bruges;12.9.2008;5 195;Scanbox Finland Oy;ENGLANTI-BELGIA
Kummeli alivuokralainen;Kummeli alivuokralainen;12.9.2008;191 996;Nordisk Film Theatrical Distribution Oy;SUOMI
Kuningattaren sisar;The Other Boleyn Girl;12.9.2008;10 740;Sandrew Metronome Dist.;ENGLANTI
Erottamattomat;Erottamattomat;5.9.2008;23 683;Nordisk Film Theatrical Distribution Oy;SUOMI
Hellboy2: The Golden Army;HELLBOY 2: THE GOLDEN ARMY;5.9.2008;23 259;Finnkino Oy;USA
Maalaukseen kadonnut nainen;Ce que mes yeux ont vu;5.9.2008;7 765;Cinema Mondo Oy;RANSKA
Matka maan keskipisteeseen 3D;Journey to the centre of the earth 3D;5.9.2008;46 481;FS Film Oy;USA
Wall-E;Wall-E;5.9.2008;174 885;The Walt Disney Company Nordic;USA
Get Smart;Get Smart;29.8.2008;46 963;Sandrew Metronome Dist.;USA
Happy-Go-Lucky;Happy-Go-Lucky;29.8.2008;13 088;Sandrew Metronome Dist.;ENGLANTI
Käsky;Käsky;29.8.2008;35 744;FS Film Oy;SUOMI
Arn - Pohjoinen valtakunta;Arn - Riket vid vägens slut;22.8.2008;8 529;FS Film Oy;RUOTSI
Ben X;Ben X;22.8.2008;2 702;Future Film;BELGIA-ALANKOMAAT
Space Chimps;Space Chimps;22.8.2008;4 884;Scanbox Finland Oy;USA
Zohan - lupa saksia;You Don't Mess With The Zohan;22.8.2008;12 121;The Walt Disney Company Nordic;USA
Love guru;Love guru;15.8.2008;7 583;FS Film Oy;USA
Myrsky;Myrsky;15.8.2008;112 163;The Walt Disney Company Nordic;SUOMI
Star Wars: Clone Wars;Star Wars: Clone Wars;15.8.2008;17 756;Sandrew Metronome Dist.;USA
Kautokeinon kapina;Kautokeino-oppröret;8.8.2008;6 922;Sandrew Metronome Dist.;NORJA
Muumio 3: lohikäärmekeisarin hauta;THE MUMMY: THE TOMB OF THE DRAGON EMPEROR;8.8.2008;41 562;Finnkino Oy;USA
Tulikärpäsiä puutarhassa;Fireflies in the Garden;8.8.2008;6 476;Nordisk Film Theatrical Distribution Oy;USA
All the Boys Love Mandy Lane;All the Boys Love Mandy Lane;1.8.2008;2 796;Future Film;USA
Kung fu panda;KUNG FU PANDA;1.8.2008;173 325;Finnkino Oy;USA
X Files - usko koetuksella;X Files I want to believe;1.8.2008;23 831;FS Film Oy;USA
Miss Pettigrew - päivä täynnä elämää;Miss Pettigrew lives for a day;25.7.2008;4 882;FS Film Oy;ENGLANTI-USA
Richard O:n tarina;L'histoire de Richard O.;25.7.2008;816;Cinema Mondo Oy;RANSKA
The Forbidden Kingdom - Kaksi mestaria;The Forbidden Kingdom;25.7.2008;5 344;Scanbox Finland Oy;USA
Yön ritari;The Dark Knight;25.7.2008;296 337;Sandrew Metronome Dist.;USA
An American Crime;An American Crime;18.7.2008;1 467;Future Film;USA
Mamma mia!;Mamma Mia!;18.7.2008;404 112;Finnkino Oy;ENGLANTI-USA
O’Horten;O’Horten;18.7.2008;821;Scanbox Finland Oy;NORJA
Hancock;Hancock;11.7.2008;93 816;The Walt Disney Company Nordic;USA
Pankkikeikka;The Bank Job;11.7.2008;9 501;Nordisk Film Theatrical Distribution Oy;ENGLANTI
Tähtivieras Dave;Meet Dave;11.7.2008;6 607;FS Film Oy;USA
Once;Once;4.7.2008;39 215;Cinema Mondo Oy;IRLANTI
Narnian tarinat: Prinssi Kaspian;The Chronicles of Narnia: Prince Caspian;2.7.2008;84 735;The Walt Disney Company Nordic;USA-ENGLANTI
Wanted;Wanted;27.6.2008;46 273;Finnkino Oy;USA
Step Up 2 the Streets;Step Up 2 the Streets;20.6.2008;22 463;Nordisk Film Theatrical Distribution Oy;USA
21;21;20.6.2008;11 917;The Walt Disney Company Nordic;USA
The Happening;The Happening;13.6.2008;32 540;FS Film Oy;USA
The Incredible Hulk;THE INCREDIBLE HULK;13.6.2008;18 205;Finnkino Oy;USA
Lumottu lelukauppa;Mr. Magorium's Wonder Emporium;6.6.2008;13 537;Nordisk Film Theatrical Distribution Oy;USA
Sinkkuelämää;Sex and the City;6.6.2008;375 453;FS Film Oy;USA
Speed Racer;Speed Racer;6.6.2008;3 623;Sandrew Metronome Dist.;USA
Made of Honor;Made of Honor;30.5.2008;16 379;The Walt Disney Company Nordic;USA
Indiana Jones ja kristallikallon valtakunta;Indiana Jones and the Kingdom of the Crystal Skull;23.5.2008;255 661;Finnkino Oy;USA
Doomsday;Doomsday;16.5.2008;5 501;Scanbox Finland Oy;ENGLANTI
Tapahtui Vegasissa;What happens in Vegas;9.5.2008;48 547;FS Film Oy;USA
The Mist - Usva;The Mist;9.5.2008;8 907;Future Film;USA
Iron Man;Iron Man;1.5.2008;52 726;Finnkino Oy;USA
Mitäs me spartalaiset;Meet the Spartans;28.4.2008;19 227;FS Film Oy;USA
Dante 01;Dante 01;25.4.2008;1 935;Cinema Mondo Oy;RANSKA
Reservation Road;Reservation Road;25.4.2008;2 223;Scanbox Finland Oy;USA
Sonic Mirror;Sonic Mirror;25.4.2008;619;Future Film;SVEITSI-SAKSA-SUOMI
Muumi ja vaarallinen juhannus;Muumi ja vaarallinen juhannus;18.4.2008;20 537;FS Film Oy;SUOMI
[Rec];[Rec];18.4.2008;3 024;Future Film;ESPANJA
Shine A Light;Shine A Light;18.4.2008;5 288;Nordisk Film Theatrical Distribution Oy;USA-ENGLANTI
The Darjeeling limited;The Darjeeling limited;18.4.2008;13 885;FS Film Oy;USA
Elämä kierrättää;Vratne lahve;11.4.2008;4 129;Cinema Mondo Oy;TSEKINMAA
Nyt tai ei koskaan;The Bucket List;11.4.2008;37 042;Sandrew Metronome Dist.;USA
Street kings;Street kings;11.4.2008;13 291;FS Film Oy;USA
Superhero Movie;Superhero Movie;11.4.2008;21 506;Future Film;USA
Funny Games;Funny Games;4.4.2008;6 053;Nordisk Film Theatrical Distribution Oy;USA
Into the Wild;INTO THE WILD;4.4.2008;9 332;Finnkino Oy;USA
P.S. Rakastan sinua;P.S. I Love You;4.4.2008;66 339;Nordisk Film Theatrical Distribution Oy;USA
Sikin sokin saduissa;Happily Never After;4.4.2008;2 105;Scanbox Finland Oy;USA-SAKSA
The Eye;The Eye;4.4.2008;22 367;Scanbox Finland Oy;USA
Be Kind, Rewind;Be Kind, Rewind;28.3.2008;17 123;Sandrew Metronome Dist.;USA
Leijapoika;The Kite Runner;28.3.2008;20 635;Sandrew Metronome Dist.;USA
Horton;Horton hears a Who;21.3.2008;83 721;FS Film Oy;USA
Orkesterin vierailu;Bikur Ha-Tizmoret;21.3.2008;4 721;The Walt Disney Company Nordic;ISRAEL
Spiderwickin kronikat;SPIDERWICK CHRONICLES;21.3.2008;22 241;Finnkino Oy;USA
Taivaan reunalla;Auf der anderen Seite;21.3.2008;5 593;Future Film;SAKSA-TURKKI-ITALIA
Vantage Point;Vantage Point;21.3.2008;10 848;The Walt Disney Company Nordic;USA
Punk - tauti joka ei tapa;Punk - tauti joka ei tapa;14.3.2008;2 290;Sandrew Metronome Dist.;SUOMI
Rakkautta koleran aikaan;Love in the Time of Cholera;14.3.2008;6 862;Scanbox Finland Oy;USA
Taxidermia;Taxidermia;14.3.2008;401;Cinema Mondo Oy;UNKARI
10 000 BC;10 000 BC;14.3.2008;35 121;Sandrew Metronome Dist.;USA
27 Dresses - hääkuumetta;27 Dresses;14.3.2008;20 441;FS Film Oy;USA
Jumper;Jumper;7.3.2008;31 826;FS Film Oy;USA
Lou Reed's Berlin;Lou Reed's Berlin;7.3.2008;946;Scanbox Finland Oy;USA-ENGLANTI
Porco Rosso;Kurenai no buta;7.3.2008;13 000;Cinema Mondo Oy;JAPANI
Cloverfield;CLOVERFIELD;29.2.2008;20 509;Finnkino Oy;USA
Hallam Foe;Hallam Foe;29.2.2008;2 687;Nordisk Film Theatrical Distribution Oy;ENGLANTI
Pyhän kirjan varjo;Pyhän kirjan varjo;29.2.2008;2 183;FS Film Oy;SUOMI
Sweeney Todd - Fleet Streetin paholaisparturi;Sweeney Todd -The Demon Barber of Fleet Street;29.2.2008;61 339;Sandrew Metronome Dist.;USA
Arn - Temppeliritari;Arn - Tempelriddaren;22.2.2008;23 693;FS Film Oy;RUOTSI
Rambo;Rambo;22.2.2008;43 253;Future Film;USA
There Will Be Blood;There Will Be Blood;22.2.2008;30 666;The Walt Disney Company Nordic;USA
Menetetty maa;NO COUNTRY FOR OLD MEN;15.2.2008;71 359;Finnkino Oy;USA
National Treasure: Salaisuuksien kirja;National Treasure: The Book of Secrets;15.2.2008;127 953;The Walt Disney Company Nordic;USA
Risto Räppääjä;Risto Räppääjä;15.2.2008;215 880;Nordisk Film Theatrical Distribution Oy;SUOMI
Alvin ja pikkuoravat;Alvin and the Chipmunks;8.2.2008;64 700;FS Film Oy;USA
Charlie Wilsonin sota;CHARLIE WILSON'S WAR;8.2.2008;14 790;Finnkino Oy;USA
Dark Floors;Dark Floors;8.2.2008;16 699;Nordisk Film Theatrical Distribution Oy;SUOMI
Lust, Caution;Se jie;8.2.2008;12 105;Sandrew Metronome Dist.;USA-TAIWAN
Tyttö ja kettu;Le Renard et L'enfant;8.2.2008;24 574;Cinema Mondo Oy;RANSKA
Asterix Olympialaisissa;Asterix aux jeux Olympiques;1.2.2008;55 407;Sandrew Metronome Dist.;RANSKA
Juno;Juno;1.2.2008;68 016;FS Film Oy;USA
Kolmistaan;Kolmistaan;1.2.2008;22 036;The Walt Disney Company Nordic;SUOMI
Väärentäjä;Die Fälscher;1.2.2008;4 417;Nordisk Film Theatrical Distribution Oy;ITÄVALTA
American Gangster;American Gangster;25.1.2008;49 530;Finnkino Oy;USA
Perhonen lasikuvussa;Le Scaphandre et le papillon;25.1.2008;11 581;Scanbox Finland Oy;RANSKA-USA
8 päivää ensi-iltaan;8 päivää ensi-iltaan;25.1.2008;47 591;FS Film Oy;SUOMI
Cleaner;Cleaner;18.1.2008;17 483;Scanbox Finland Oy;USA
In the Valley of Elah;In the Valley of Elah;18.1.2008;6 693;Sandrew Metronome Dist.;USA
Mr Woodcock;Mr Woodcock;18.1.2008;5 269;FS Film Oy;USA
Aurinkomyrsky;Solstorm;11.1.2008;3 377;Sandrew Metronome Dist.;RUOTSI
Nanny Diaries;Nanny Diaries;11.1.2008;9 254;Scanbox Finland Oy;USA
Tummien perhosten koti;Tummien perhosten koti;5.1.2008;115 506;Nordisk Film Theatrical Distribution Oy;SUOMI
Alien vs. Predator 2;Alien vs. Predator 2;4.1.2008;26 646;FS Film Oy;USA
Elias ja kuninkaan laiva;Elias og kongeskipet;4.1.2008;12 754;FS Film Oy;NORJA
Gone Baby Gone;Gone Baby Gone;4.1.2008;3 569;The Walt Disney Company Nordic;USA
Jesse Jamesin salamurha...;The Assassination of Jesse James...;4.1.2008;7 602;Sandrew Metronome Dist.;USA
Cassandra's Dream;Cassandra's Dream;28.12.2007;15 887;Scanbox Finland Oy;USA-ENGLANTI
Orpokoti;El orfanato;28.12.2007;47 037;Cinema Mondo Oy;MEKSIKO-ESPANJA
Sooloilua;Sooloilua;28.12.2007;186 808;Nordisk Film Theatrical Distribution Oy;SUOMI
Mehiläisen elokuva;Bee Movie;25.12.2007;64 789;Finnkino Oy;USA
I Am Legend;I Am Legend;21.12.2007;84 924;Sandrew Metronome Dist.;USA
Klo 3:10 lähtö Yumaan;3:10 to Yuma;21.12.2007;6 424;FS Film Oy;USA
Lumottu;Enchanted;21.12.2007;62 252;The Walt Disney Company Nordic;USA
Hitman;Hitman;14.12.2007;26 888;FS Film Oy;USA
I'm Not There;I'm Not There;14.12.2007;5 273;Scanbox Finland Oy;USA-SAKSA
Röllin sydän;Röllin sydän;14.12.2007;149 715;Nordisk Film Theatrical Distribution Oy;SUOMI
We Own the Night;We Own the Night;14.12.2007;9 862;Sandrew Metronome Dist.;USA
Tali-Ihantala 1944;Tali-Ihantala 1944;7.12.2007;191 573;The Walt Disney Company Nordic;SUOMI
Kultainen kompassi;The Golden Compass;5.12.2007;111 544;FS Film Oy;USA-ENGLANTI
My Blueberry Nights;My Blueberry Nights;30.11.2007;21 548;Cinema Mondo Oy;HONG KONG-RANSKA-KIINA
Raja 1918;Raja 1918;30.11.2007;87 161;FS Film Oy;SUOMI
30 päivää kaamosta;30 Days of Night;30.11.2007;5 449;Nordisk Film Theatrical Distribution Oy;USA
Beowulf;Beowulf;23.11.2007;28 476;Sandrew Metronome Dist.;USA
Control;Control;23.11.2007;10 619;Future Film;ENGLANTI-USA
Michael Clayton;Michael Clayton;23.11.2007;7 958;FS Film Oy;USA
The Kingdom;The Kingdom;23.11.2007;11 397;Finnkino / United International Pictures;USA
Import Export;Import-eksport;16.11.2007;244;Kinoscreen Illusion;NORJA
Jane Austenin jalanjäljillä;Becoming Jane;16.11.2007;7 143;FS Film Oy;ENGLANTI
Joulutarina;Joulutarina;16.11.2007;283 327;Sandrew Metronome Dist.;SUOMI
Voitte suudella sulhasta;I Now Pronounce You Chuck and Larry;16.11.2007;5 940;Finnkino / United International Pictures;USA
Elisabet - Kultainen aikakausi;Elizabeth - The Golden Age;9.11.2007;16 958;Finnkino / United International Pictures;ENGLANTI-RANSKA
Halloween;Halloween;9.11.2007;2 865;Nordisk Film Theatrical Distribution Oy;USA
Lions for Lambs;Lions for Lambs;9.11.2007;5 728;FS Film Oy;USA
Surf's Up - tyrskyn ratsastajat;Surf's Up;9.11.2007;7 247;The Walt Disney Company Nordic;USA
4 kuukautta, 3 viikkoa, 2 päivää;4 luni, 3 saptamani si 2 zile;9.11.2007;21 559;Cinema Mondo Oy;ROMANIA
Eastern Promises;Eastern Promises;2.11.2007;21 998;FS Film Oy;USA
Evening;Evening;2.11.2007;2 293;Scanbox Finland Oy;USA
Family Meeting;Family Meeting;2.11.2007;3 498;FS Film Oy;SUOMI
Resident Evil: Tuho;Resident Evil: Extinction;2.11.2007;17 124;The Walt Disney Company Nordic;ENGLANTI-USA
Sekaisin suhteessa;The Heartbreak Kid;2.11.2007;29 223;Finnkino / United International Pictures;USA
1408;1408;2.11.2007;29 278;Future Film;USA
Operaatio Rescue Dawn;Rescue Dawn;26.10.2007;1 319;Nordisk Film Theatrical Distribution Oy;USA
Saw IV;Saw IV;26.10.2007;22 005;Scanbox Finland Oy;USA
Sicko - aivan sairasta;Sicko;26.10.2007;4 929;FS Film Oy;USA
Superbad;Superbad;26.10.2007;9 936;The Walt Disney Company Nordic;USA
Musta jää;Musta jää;19.10.2007;124 127;Sandrew Metronome Dist.;SUOMI
Rottatuille;Ratatouille;19.10.2007;273 585;The Walt Disney Company Nordic;USA
Shoot 'Em Up;Shoot 'Em Up;19.10.2007;6 813;FS Film Oy;USA
Sinä elävä;Du levande;19.10.2007;11 607;Cinema Mondo Oy;RUOTSI-RANSKA
Georg Ots - Rakkaani;Georg;12.10.2007;10 596;Nordisk Film Theatrical Distribution Oy;VIRO-VENÄJÄ-SUOMI
Kimpassa;Ensemble, c'est tout;12.10.2007;13 022;FS Film Oy;RANSKA
Stranger in You;The Brave One;12.10.2007;5 265;Sandrew Metronome Dist.;USA-AUSTRALIA
Hairspray;Hairspray;5.10.2007;22 493;FS Film Oy;USA
Joe Strummer: The Future is Unwritten;Joe Strummer: The Future is Unwritten;5.10.2007;727;Sandrew Metronome Dist.;ENGLANTI-IRLANTI
Persepolis;Persepolis;5.10.2007;5 712;Sandrew Metronome Dist.;USA-RANSKA
Tähtisumua;Stardust;5.10.2007;28 888;Finnkino / United International Pictures;USA-ENGLANTI
2 päivää Pariisissa;2 Days in Paris;5.10.2007;30 245;Cinema Mondo Oy;RANSKA-SAKSA
Ei sanaakaan;Ne le dis à personne;28.9.2007;522;Future Film;RANSKA
Ganes;Ganes;28.9.2007;174 416;FS Film Oy;SUOMI
Hot Fuzz;Hot Fuzz;28.9.2007;2 746;Finnkino / United International Pictures;ENGLANTI
Maameren tarinat;Gedo Senki;28.9.2007;19 169;Cinema Mondo Oy;JAPANI
Sovitus;Atonement;28.9.2007;41 932;Finnkino / United International Pictures;ENGLANTI
Beatrix Potter - taiteilijaelämää;Miss Potter;21.9.2007;5 480;Nordisk Film Theatrical Distribution Oy;USA-ENGLANTI
Huisi hai;Shark Bait;21.9.2007;6 245;Scanbox Finland Oy;USA
Paksuna;Knocked Up;21.9.2007;43 930;Finnkino / United International Pictures;USA
Rush Hour 3;Rush Hour 3;21.9.2007;40 124;FS Film Oy;USA
Goal II: Living the Dream;Goal II: Living the Dream;14.9.2007;319;The Walt Disney Company Nordic;ENGLANTI
Lieksa!;Lieksa!;14.9.2007;57 091;The Walt Disney Company Nordic;SUOMI
Mr. Brooks;Mr. Brooks;14.9.2007;5 393;FS Film Oy;USA
Paranoia;Disturbia;14.9.2007;18 573;Finnkino / United International Pictures;USA
Rakkauden resepti;No Reservations;14.9.2007;5 029;Sandrew Metronome Dist.;USA-AUSTRALIA
Colorado Avenue;Colorado Avenue;7.9.2007;57 263;Sandrew Metronome Dist.;SUOMI
Kultaisen kukan kirous;Man cheng jin dai huang jin jia;7.9.2007;7 175;Nordisk Film Theatrical Distribution Oy;HONGKONG-KIINA
28 viikkoa myöhemmin;28 Weeks Later;7.9.2007;9 875;FS Film Oy;ENGLANTI-ESPANJA
Fracture - murtumaton;Fracture;31.8.2007;11 017;FS Film Oy;USA
Irina Palm;Irina Palm;31.8.2007;4 576;Sandrew Metronome Dist.;BELGIA
Shrek kolmas;Shrek the Third;31.8.2007;239 898;Finnkino / United International Pictures;USA
Tuntematon nainen;La Sconosciuta;31.8.2007;2 188;Future Film;ITALIA
Arvoituksia arkussa;Death at a Funeral;24.8.2007;4 712;Scanbox Finland Oy;SAKSA-ENGLANTI-USA
Vedätys;The Hoax;24.8.2007;6 212;Nordisk Film Theatrical Distribution Oy;USA
Kultainen portti;Nuovo Mondo;17.8.2007;3 448;Cinema Mondo Oy;RANSKA-SAKSA-ITALIA
Liftari;The Hitcher;17.8.2007;1 008;Nordisk Film Theatrical Distribution Oy;USA
Medusan sinetti;Bourne Ultimatum;17.8.2007;96 862;Finnkino / United International Pictures;USA
Fantastic Fours: Hopesurffari;Fantastic Four: Rise of the Silver Surfer;10.8.2007;25 077;FS Film Oy;USA
Riemukas Robinsonin perhe;Meet the Robinsons;10.8.2007;10 091;The Walt Disney Company Nordic;USA
Evan tainvaanlahja;Evan Almighty;3.8.2007;20 667;Finnkino / United International Pictures;USA
Lady Chatterley;Lady Chatterley;3.8.2007;2 778;Future Film;BELGIA-RANSKA
Paha aavistus;Premonition;3.8.2007;5 750;Nordisk Film Theatrical Distribution Oy;USA
Silta salaiseen maahan;Bridge to Terabithia;3.8.2007;16 295;Scanbox Finland Oy;USA
The Simpsons Movie;The Simpsons Movie;27.7.2007;412 213;FS Film Oy;USA
Grindhouse: Planet Terror;Grindhouse: Planet Terror;20.7.2007;12 762;FS Film Oy;USA
Harry Potter ja Feeniksin kilta;Harry Potter and the Order of the Phoenix;13.7.2007;362 648;Sandrew Metronome Dist.;ENGLANTI-USA
Käärmeen merkki;Le Serpent;13.7.2007;953;Future Film;RANSKA
Pahuuden sanansaattajat;The Messengers;13.7.2007;1 375;Nordisk Film Theatrical Distribution Oy;KANADA-USA
Hinnasta viis;Hors de prix;6.7.2007;23 867;Cinema Mondo Oy;RANSKA
Transformers;Transformers;4.7.2007;74 689;Finnkino / United International Pictures;USA
Die Hard 4.0;Die Hard 4.0;26.6.2007;132 094;FS Film Oy;USA
TMNT - teini-ikäiset mutanttininjakilpikonnat;TMNT;22.6.2007;7 568;Nordisk Film Theatrical Distribution Oy;USA
Hokkarihemmot;Blades of Glory;8.6.2007;10 829;Finnkino / United International Pictures;USA
Ocean's 13;Ocean's 13;8.6.2007;121 542;Sandrew Metronome Dist.;USA
Grindhouse: Death Proof;Grindhouse: Death Proof;1.6.2007;29 243;FS Film Oy;USA
Pirates of the Caribbean: Maailman laidalla;Pirates of the Caribbean: At World's End;22.5.2007;358 225;The Walt Disney Company Nordic;USA
Perfect Stranger - vaara verkossa;Perfect Stranger;18.5.2007;6 858;FS Film Oy;USA
Zodiac;Zodiac;18.5.2007;20 590;Sandrew Metronome Dist.;USA
Verisempi viikonloppu;Severance;11.5.2007;2 376;Scanbox Finland Oy;ENGLANTI-SAKSA
Spiderman 3 - Hämähäkkimies 3;Spiderman 3;4.5.2007;126 289;The Walt Disney Company Nordic;USA
Next;Next;27.4.2007;10 344;FS Film Oy;USA
Sekavia suhteita;Because I Said So;27.4.2007;11 182;FS Film Oy;USA
The Fountain;The Fountain;27.4.2007;1 275;FS Film Oy;USA
Alpha Dog;Alpha Dog;20.4.2007;9 824;Scanbox Finland Oy;USA
Häiden jälkeen;Efter Brylluppet;20.4.2007;11 773;Bio Rex Cinemas;TANSKA-RUOTSI
Shooter;Shooter;20.4.2007;18 414;Finnkino / United International Pictures;USA-KANADA
Inland Empire;Inland Empire;13.4.2007;10 550;Cinema Mondo Oy;USA-RANSKA
Sunshine;Sunshine;13.4.2007;15 326;FS Film Oy;ENGLANTI
Epic Movie;Epic Movie;6.4.2007;24 921;FS Film Oy;USA
Goyan aaveet;Goya's Ghosts;6.4.2007;3 491;Nordisk Film Theatrical Distribution Oy;ESPANJA
Keksijäkylän Lotta;Leiutajateküla Lotte;6.4.2007;12 206;FS Film Oy;VIRO-LATVIA
Muutama päivä syyskuussa;Quelques jours en septembre;6.4.2007;308;Future Film;RANSKA
300;300;6.4.2007;80 143;Sandrew Metronome Dist.;USA
Kikin lähettipalvelu;Majo no takkyubin;30.3.2007;0;Cinema Mondo Oy;JAPANI
Kikin lähettipalvelu;Majo no takkyûbin;30.3.2007;30 129;Cinema Mondo Oy;JAPANI
Mr. Bean lomailee;Mr. Bean's Holiday;30.3.2007;309 286;Finnkino / United International Pictures;ENGLANTI
Pariisin varpunen - Edith Piaf;La Mome;30.3.2007;48 072;Sandrew Metronome Dist.;RANSKA-ENGLANTI
Kirjava huntu;The Painted Veil;23.3.2007;33 806;Nordisk Film Theatrical Distribution Oy;KIINA-USA
Numero 23;Number 23;23.3.2007;31 193;FS Film Oy;USA
Sävel ja sanat;Music and Lyrics;23.3.2007;39 847;Sandrew Metronome Dist.;USA
Wild Hogs - villit karjut;Wild Hogs;23.3.2007;17 418;The Walt Disney Company Nordic;USA
Fur;Fur: An Imaginary Portrait of Diane Arbus;16.3.2007;904;FS Film Oy;USA
Göta kanal 2;Göta kanal 2 - kanalkampen;16.3.2007;5 095;FS Film Oy;RUOTSI
Hollywoodland;Hollywoodland;16.3.2007;951;The Walt Disney Company Nordic;USA
Tideland;Tideland;16.3.2007;3 521;Cinema Mondo Oy;ENGLANTI
Uusi ihminen;Den Nya människan;16.3.2007;20 167;Sandrew Metronome Dist.;RUOTSI-SUOMI
Aavan meren tällä puolen;Kid Svensk;9.3.2007;10 108;FS Film Oy;RUOTSI-SUOMI
Martinin unelma;Drømmen;9.3.2007;5 628;Kinoscreen Illusion;TANSKA
Norbit;Norbit;9.3.2007;22 441;Finnkino / United International Pictures;USA
Arthur ja minimoit;Arthur et les minimoys;2.3.2007;25 832;Scanbox Finland Oy;RANSKA
Little Children;Little Children;2.3.2007;2 889;FS Film Oy;USA
Millennium Actress;Sennen joyû;2.3.2007;710;Bio Rex Cinemas;JAPANI
Smokin' Aces;Smokin' Aces;2.3.2007;11 012;Finnkino / United International Pictures;USA-ENGLANTI-RANSKA
Yhden tähden hotelli;Yhden tähden hotelli;2.3.2007;6 375;Sandrew Metronome Dist.;SUOMI
Black Sheep;Black Sheep;27.2.2007;6 011;Future Film;UUSI SEELANTI
Dreamgirls;Dreamgirls;23.2.2007;27 464;Finnkino / United International Pictures;USA
Ghost Rider - Aaveajaja;Ghost Rider;23.2.2007;54 138;The Walt Disney Company Nordic;USA
Miehen työ;Miehen työ;23.2.2007;48 889;Sandrew Metronome Dist.;SUOMI
Paljastavat merkinnät;Notes on a Scandal;23.2.2007;8 653;FS Film Oy;ENGLANTI
The Good Shepherd;The Good Shepherd;23.2.2007;14 358;Nordisk Film Theatrical Distribution Oy;USA
Kirjeitä Iwo Jimalta;Letter from Iwo Jima;16.2.2007;6 535;Sandrew Metronome Dist.;USA
Lotta ystäväni;Charlotte's Web;16.2.2007;37 598;Finnkino / United International Pictures;USA
Murto ja varkaus;Breaking and Entering;16.2.2007;5 470;The Walt Disney Company Nordic;USA-ENGLANTI
Night at the Museum - yö museossa;Night at the Museum;16.2.2007;128 364;FS Film Oy;USA
Nuori Hannibal;Hannibal Rising;16.2.2007;18 815;Nordisk Film Theatrical Distribution Oy;ENGLANTI-USA
Blood Diamond - Veritimantti;Blood Diamond;9.2.2007;23 723;Sandrew Metronome Dist.;USA
Kohti etelää;Vers le sud;9.2.2007;3 202;Cinema Mondo Oy;KANADA-RANSKA
Onnen potkuja;The Pursuit of Happyness;9.2.2007;5 948;The Walt Disney Company Nordic;USA
Uhka;Ils;9.2.2007;5 588;Future Film;RANSKA
Bobby;Bobby;2.2.2007;2 649;Scanbox Finland Oy;USA
Last King of Scotland;Last King of Scotland;2.2.2007;19 797;FS Film Oy;ENGLANTI
Ruma ankanpoikanen ja Minä;The Ugly Duckling and Me;2.2.2007;9 598;Nordisk Film Theatrical Distribution Oy;TANSKA-ENGLANTI-SAKSA
Suden vuosi;Suden vuosi;2.2.2007;58 017;Nordisk Film Theatrical Distribution Oy;SUOMI
Apocalypto;Apocalypto;26.1.2007;24 504;Scanbox Finland Oy;USA
The Queen;The Queen;26.1.2007;112 967;Sandrew Metronome Dist.;ENGLANTI-ITALIA-RANS
Charlie sanoo;Selon Charlie;19.1.2007;1 143;Cinema Mondo Oy;RANSKA
Parfyymi - erään murhaajan tarina;Perfume: The Story of a Murderer;19.1.2007;20 967;Nordisk Film Theatrical Distribution Oy;ESPANJA-RANSKA
Tallipihan bilehileet;Barnyard;19.1.2007;40 186;Finnkino / United International Pictures;USA
Hetki lyö;Shi gan;12.1.2007;2 335;Cinema Mondo Oy;KOREA
V2 Jäätynyt enkeli;V2 Jäätynyt enkeli;12.1.2007;193 674;The Walt Disney Company Nordic;SUOMI
