Paikkakunta;Teatterinimi;Salit;Omistaja;Paikat;Osoite
Laitila;LAITILAN KINO;Laitilan Kino;Tmi Henry Erkkilä;136;Vihtorinkatu 8, 23800 Laitila
Lappeenranta;KINO-AULA;Kino-Aula;Elokuva Luotola Oy;208;Valtakatu 39, 53100 Lappeenranta
Lappeenranta;NUIJAMIES;Nuijamies;Elokuva Luotola Oy;371;Valtakatu 39, 53100 Lappeenranta
Lappeenranta;STRAND;Strand 1;Finnkino Oy;241;Brahenkatu 5, 53100 Lappeenranta
Lappeenranta;STRAND;Strand 2;Finnkino Oy;83;Brahenkatu 5, 53100 Lappeenranta
Lappeenranta;STRAND;Strand 3;Finnkino Oy;82;Brahenkatu 5, 53100 Lappeenranta
Lappeenranta;STRAND;Strand 4;Finnkino Oy;129;Brahenkatu 5, 53100 Lappeenranta
Lapua;BIO MARILYN;Bio Marilyn;Remamian Oy ;105;Kustaa Tiitun tie 1, 62100 Lapua
Lieksa;LIEKSAN ELOKUVAT;Lieksan Elokuvat;Lieksan elokuvat;400;Korpi-jaakonkatu 20, 81700 Lieksa
Lohja;VAAKUNA;Vaakuna;Off Limits Oy;199;Koulukatu 4, 08100 Lohja
Loimaa;KINEMA;Kinema;Kinoset Oy;117;Vesikoskenkatu 21, 32200 Loimaa
Loviisa;KINO MARILYN;Kino Marilyn;Logimar Oy Kino Marilyn;205;Kuningattarenkatu 17, 07900 Loviisa
Mikkeli;KINOLINNA;Kinolinna 1;Mika Luukkonen Oy;216;Vuorikatu 9, 50100 Mikkeli
Mikkeli;KINOLINNA;Kinolinna 2;Mika Luukkonen Oy;63;Vuorikatu 9, 50100 Mikkeli
Mikkeli;KINOLINNA;Kinolinna 3;Mika Luukkonen Oy;63;Vuorikatu 9, 50100 Mikkeli
Mikkeli;RITZ;Ritz;?;242;Mikonkatu 1, 50100 Mikkeli
Muonio;OLOS POLAR CENTER;Olos Polar Center;Lapland Hotels Olos;650;Oloshotellintie 25,99300 Muonio
Mänttä-Vilppula;KINO-SÄDE;Kino-Säde;Mänttä-Seura ry ;133;Koskelankatu 2, 35800 Mänttä
Mäntyharju;KINO;Kino;Mäntyharjun kunta;222;Kompantie 22, 52700 Mäntyharju
Nurmes;KINO HANNIKAINEN;Kino Hannikainen;AV-Kärki Oy;250;Kötsintie 2 75500 Nurmes
Nurmijärvi;KINO JUHA;Kino Juha;?;163;Keskustie 7, 01900 Nurmijärvi
Oulainen;KINOKULMA;Kinokulma;Kinokulma Oy;113;Asemakatu 1, 86300 Oulainen
Oulu;STUDIO;Studio;Oulun elokuvakeskus ry ;45;Hallituskatu 7, 90100 Oulu
Oulu;PLAZA;Plaza 1;Finnkino Oy;409;Torikatu 32, 90100 Oulu
Oulu;PLAZA;Plaza 2;Finnkino Oy;184;Torikatu 32, 90100 Oulu
Oulu;PLAZA;Plaza 3;Finnkino Oy;81;Torikatu 32, 90100 Oulu
Oulu;PLAZA;Plaza 4;Finnkino Oy;106;Torikatu 32, 90100 Oulu
Oulu;PLAZA;Plaza 5;Finnkino Oy;98;Torikatu 32, 90100 Oulu
Oulu;PLAZA;Plaza 6;Finnkino Oy;83;Torikatu 32, 90100 Oulu
Oulu;PLAZA;Plaza 7;Finnkino Oy;88;Torikatu 32, 90100 Oulu
Oulu;PLAZA;Plaza 8;Finnkino Oy;90;Torikatu 32, 90100 Oulu
Oulu;STAR;Star 1;Kaksois-Elokuvat Ky;125;Kalliotie 6 A 3, 90500 Oulu
Oulu;STAR;Star 2;Kaksois-Elokuvat Ky;54;Kalliotie 6 A 3, 90500 Oulu
Oulu;STAR;Star 3;Kaksois-Elokuvat Ky;58;Kalliotie 6 A 3, 90500 Oulu
Oulu;STAR;Star 4;Kaksois-Elokuvat Ky;69;Kalliotie 6 A 3, 90500 Oulu
Outokumpu;KINO MARITA;Kino Marita;Tmi Kino Marita;150;Koulukatu 1, 83500 Outokumpu
Paimio;VISTAN KINO;Vistan Kino;MTK-Paimio ry;182;Hirsitie 4, 21530 Paimio
Paimio;BIO STARA;Bio Stara;Bio-Kuva;119;Pussitie 4, 21530 Paimio
Parainen;BIO SYDVÄST;Bio Sydväst;Paraisten kaupunki;100;?
Parikkala;KINO PATTERY;Kino Pattery;Parikkalan Teatteryhdistys ;250;Harjukuja 6, 59100 Parikkala
Parkano;SIRIUS;Sirius;Silanterä-Savolainen Ay;170;Heikintie 3, 39700 Parkano
Pello;PELLON KUNNANKINO;Pellon Kunnankino;Pellon kunta;153;Ahjotie 8, 95700 Pello
Pieksämäki;KINOMANIA;Kinomania;TMB Cinema Oy;100;Laaksotie 47, Pieksämäki
Pietarsaari;KINOCITY;City 1;Bio Rex Cinemas Oy;218;Perämiehenkatu 7, 68600 Pietarsaari
